Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 1.481184e+09
Size, Fill, Copy, AXPY, DOT, Uncertainty
30, 4883.128531, 12448.427853, 10468.394381, 3419.688543, 2.1%
45, 5946.333453, 13505.874086, 11292.428458, 3578.364708, 1.7%
67, 6409.319502, 11972.597799, 12738.869849, 3675.007066, 1.3%
99, 6896.337742, 17845.956556, 14143.438366, 3796.229699, 0.9%
148, 7072.667273, 21177.896424, 15582.994456, 3831.188601, 0.6%
221, 7425.551976, 26851.822064, 16004.780075, 3879.901380, 0.4%
330, 7399.149493, 29647.233087, 16499.554609, 3852.072813, 0.3%
492, 7666.968284, 36086.342930, 17128.373670, 3935.314542, 0.2%
734, 7773.341276, 38762.725596, 17403.502549, 3954.936481, 0.1%
1094, 7805.202528, 39847.983897, 17532.870377, 3951.754885, 0.1%
1631, 7883.574687, 38991.147897, 17625.549884, 3968.417634, 0.1%
2433, 7907.444925, 28006.891658, 17530.707299, 3972.566125, 0.0%
3628, 7713.183659, 27609.001777, 17053.606138, 3867.711453, 0.0%
5410, 7920.130114, 28710.027485, 17473.253658, 3970.441387, 0.0%
8068, 7944.185890, 29092.811966, 17504.327288, 3980.415337, 0.0%
12031, 7907.742874, 29240.870562, 17431.765202, 3946.768531, 0.0%
17941, 7929.217106, 29347.621757, 17576.909045, 3968.187536, 0.0%
26754, 7939.414911, 29529.495024, 17486.552555, 3973.953090, 0.0%
39897, 7771.807224, 21825.920209, 17046.616530, 3892.962105, 0.0%
59496, 7915.219053, 22149.118231, 15478.247378, 3846.042105, 0.0%
88722, 7902.130894, 22124.415506, 12642.238708, 3698.234365, 0.0%
132305, 7091.378265, 19740.335182, 12498.228064, 3699.215425, 0.0%
197297, 6804.559197, 13765.119242, 12471.620003, 3684.900558, 0.0%
294216, 7093.568129, 13419.420012, 12431.556647, 3695.947830, 0.0%
438744, 7141.983202, 13394.792903, 12260.838065, 3696.287087, 0.0%
654269, 7118.185341, 13408.377984, 12049.087979, 3680.415771, 0.0%
975668, 7095.109035, 13350.065468, 12284.607302, 3672.024790, 0.0%
1454948, 7146.722544, 13339.367165, 12498.829285, 3694.590104, 0.0%
2169666, 7011.131531, 13331.321107, 12496.710552, 3639.098780, 0.0%
3235477, 7132.125516, 13390.374000, 12536.108853, 3692.655995, 0.0%
4824849, 7132.336723, 13388.772850, 12286.747031, 3679.320763, 0.0%
7194973, 7120.132861, 13373.818369, 12355.547357, 3674.334809, 0.0%
10729379, 7144.972343, 13361.973955, 12467.354658, 3688.228209, 0.0%
16000000, 7136.531250, 13391.411617, 12507.435614, 3676.715366, 0.0%
