Smallest detectable time = 1.000000e-06 (ms)
getTicksPerSecond = 1.403811e+09
Size, Fill, Copy, AXPY, DOT, Uncertainty
30, 15171.544699, 18171.839331, 30998.139797, 13307.445760, 6.6%
45, 20919.876034, 25087.189357, 35587.534250, 18751.446087, 6.1%
67, 24610.345904, 34360.235061, 43366.833055, 26899.948116, 4.8%
99, 32870.193053, 39418.745344, 55373.569663, 29618.242613, 4.4%
148, 43364.211845, 43796.186703, 75627.285086, 37471.330864, 3.8%
221, 61193.266910, 53088.590205, 104606.414262, 43517.065065, 3.6%
330, 65698.465678, 63979.372804, 111356.194397, 40195.039727, 2.6%
492, 81596.040723, 73583.201367, 132356.835683, 46088.852908, 2.2%
734, 95095.345926, 81037.430199, 149475.610544, 47913.162134, 1.7%
1094, 104927.769822, 78757.288815, 163166.366698, 53709.879732, 1.3%
1631, 105797.686325, 75730.234430, 160467.665595, 54310.360355, 0.9%
2433, 110845.155815, 39746.946308, 96350.233866, 55598.532530, 0.6%
3628, 116014.133804, 34540.951139, 81043.566371, 55820.422120, 0.4%
5410, 34620.658285, 34531.869090, 80848.863694, 56682.552251, 0.1%
8068, 34998.937090, 34964.129728, 82338.592207, 58050.892832, 0.1%
12031, 35091.531817, 35477.290204, 83178.545042, 58962.296346, 0.0%
17941, 35386.654072, 35746.411897, 84012.980530, 59833.586936, 0.0%
26754, 34582.895951, 35180.961217, 82868.573434, 58911.847153, 0.0%
39897, 35098.042572, 34951.244622, 81988.962023, 58406.666302, 0.0%
59496, 35423.515200, 29968.250785, 70303.942147, 42911.245701, 0.0%
88722, 35043.425026, 23179.660029, 37347.842433, 14709.852895, 0.0%
132305, 24224.821852, 21877.538385, 34479.368447, 13280.510046, 0.0%
197297, 17640.906544, 18058.124685, 33014.841107, 12750.994980, 0.0%
294216, 17363.628590, 17598.125477, 32845.335602, 12583.158701, 0.0%
438744, 17345.545871, 17431.589798, 32651.336367, 12508.810267, 0.0%
654269, 17372.480006, 17489.314715, 32684.750056, 12501.638521, 0.0%
975668, 17407.409707, 17630.669952, 33570.864494, 12677.114853, 0.0%
1454948, 17329.513166, 17518.987949, 33523.035550, 12678.508340, 0.0%
2169666, 15216.167936, 17620.326204, 29778.050258, 12790.060735, 0.0%
3235477, 17368.130645, 17635.526989, 33743.564840, 12711.418958, 0.0%
4824849, 13061.021190, 17634.568563, 25591.654257, 12836.152595, 0.0%
7194973, 17400.711558, 17618.838806, 34261.931976, 12864.271496, 0.0%
10729379, 8681.049386, 17530.318880, 17242.379917, 12815.412300, 0.0%
16000000, 8533.729351, 17270.615200, 17078.615958, 12706.145864, 0.0%
